Tipo nave (agrupado),TRG,Puerto origen,Puerto destino,Agencia,Sitio,Línea naviera,Servicio,service_time_hours,Calado arribo,Calado diff,covid_era,atraque_hour_sin,atraque_hour_cos,atraque_dayofweek_sin,atraque_dayofweek_cos,atraque_month_sin,atraque_month_cos
Vehicle Carrier,47053,ARICA,other_destinations,78610880-2 - INCHCAPE,Sitio 4/5,other_liners,CAR CARRIERS,13.2,7.85,0.45,pre,0.965926,-0.258819,0.433884,-0.900969,0.5,0.866025
Passenger,66084,PUERTO MONTT,COQUIMBO,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,11.916666666666666,7.05,0.0,pre,1.0,0.0,-0.974928,-0.222521,0.5,0.866025
Vehicle Carrier,61321,MANTA,SANTOS - SP,82728500-5 - IAN TAYLOR,Sitio 4/5,WWO,WCSA,26.25,8.7,1.15,pre,-0.707107,0.707107,0.433884,-0.900969,0.5,0.866025
Container,141635,LIRQUEN,ANGAMOS,96707720-8 - MSC,Sitio 1,MSC,Andes,17.75,12.7,-1.0,pre,-0.258819,-0.965926,0.974928,-0.222521,0.5,0.866025
Container,39905,SANTOS - SP,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,9.416666666666666,12.1,1.2,pre,-0.707107,0.707107,-0.433884,-0.900969,0.5,0.866025
Dry Bulk,31538,SAN LORENZO,MEJILLONES,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,71.86666666666666,9.35,3.95,pre,-0.5,0.866025,-0.433884,-0.900969,0.5,0.866025
Container,50624,CALLAO,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,22.5,10.9,1.2,pre,-0.5,0.866025,-0.781831,0.62349,0.5,0.866025
Container,92293,ANGAMOS,HONG KONG,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,42.25,8.15,-1.85,pre,0.5,-0.866025,0.0,1.0,0.5,0.866025
Container,53481,ANTOFAGASTA,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,27.0,9.75,0.4,pre,-0.707107,0.707107,-0.433884,-0.900969,0.5,0.866025
Container,92198,ANGAMOS,HONG KONG,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,46.0,10.2,-0.7,pre,0.965926,-0.258819,0.0,1.0,0.5,0.866025
Container,66289,ANTOFAGASTA,SAN VICENTE,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,27.0,10.35,-0.3,pre,-0.707107,0.707107,-0.974928,-0.222521,0.5,0.866025
Container,39905,ARICA,PUERTO MADRYN,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,23.916666666666668,8.45,0.0,pre,1.0,0.0,-0.433884,-0.900969,0.5,0.866025
General Cargo,9611,SAN VICENTE,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,NON-LINER,NO SERVICE,7.666666666666667,7.2,-0.05,pre,-0.707107,0.707107,-0.974928,-0.222521,0.5,0.866025
Vehicle Carrier,60942,IQUIQUE,PARANAGUA - PR,82728500-5 - IAN TAYLOR,Sitio 4/5,WWO,WCSA,8.666666666666666,8.65,0.0,pre,-0.866025,0.5,-0.974928,-0.222521,0.5,0.866025
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,25.633333333333333,9.05,1.05,pre,1.0,0.0,0.974928,-0.222521,0.5,0.866025
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,57.25,7.95,-1.05,pre,0.866025,0.5,0.974928,-0.222521,0.5,0.866025
Container,116568,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,31.58333333333333,10.9,0.9,pre,0.965926,0.258819,-0.974928,-0.222521,0.5,0.866025
Container,94623,ANGAMOS,CALLAO,80925100-4 - SOMARCO,Sitio 4/5,COSCO GROUP,Eurosal,36.1,11.35,1.45,pre,0.965926,0.258819,0.433884,-0.900969,0.5,0.866025
Vehicle Carrier,63004,IQUIQUE,NAGOYA - AICHI,96566940-k - AGUNSA,Sitio 4/5,NYK,SHINNANSEIKAI,13.916666666666666,8.0,0.5,pre,0.0,-1.0,0.974928,-0.222521,0.5,0.866025
