Código nave,Tipo nave (agrupado),TRG,Puerto origen,Puerto destino,Agencia,Sitio,Línea naviera,Servicio,service_time_hours,atraque_hour,atraque_dayofweek,atraque_month,atraque_year,Calado arribo,Calado diff
9491886,Vehicle Carrier,47053,ARICA,PORT ELIZABETH,78610880-2 - INCHCAPE,Sitio 4/5,CSAV,CAR CARRIERS,13.2,7,3,1,2020,7.85,0.45
9438066,Passenger,66084,PUERTO MONTT,COQUIMBO,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,11.916666666666666,6,5,1,2020,7.05,0.0
9302205,Vehicle Carrier,61321,MANTA,SANTOS - SP,82728500-5 - IAN TAYLOR,Sitio 4/5,WWO,WCSA,26.25,21,3,1,2020,8.7,1.15
9465289,Container,141635,LIRQUEN,ANGAMOS,96707720-8 - MSC,Sitio 1,MSC,Andes,17.75,13,2,1,2020,12.7,-1.0
9509152,Container,39905,SANTOS - SP,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,9.416666666666666,21,4,1,2020,12.1,1.2
9593361,Dry Bulk,31538,SAN LORENZO,MEJILLONES,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,71.86666666666666,22,4,1,2020,9.35,3.95
9294381,Container,50624,CALLAO,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,22.5,22,6,1,2020,10.9,1.2
9352028,Container,92293,ANGAMOS,HONG KONG,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,42.25,10,0,1,2020,8.15,-1.85
9320685,Container,53481,ANTOFAGASTA,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,27.0,21,4,1,2020,9.75,0.4
9146455,Container,92198,ANGAMOS,HONG KONG,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,46.0,7,0,1,2020,10.2,-0.7
9214214,Container,66289,ANTOFAGASTA,SAN VICENTE,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,27.0,21,5,1,2020,10.35,-0.3
9509140,Container,39905,ARICA,PUERTO MADRYN,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,23.916666666666668,6,4,1,2020,8.45,0.0
9261061,General Cargo,9611,SAN VICENTE,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,NON-LINER,NO SERVICE,7.666666666666667,21,5,1,2020,7.2,-0.05
9316141,Vehicle Carrier,60942,IQUIQUE,PARANAGUA - PR,82728500-5 - IAN TAYLOR,Sitio 4/5,WWO,WCSA,8.666666666666666,20,5,1,2020,8.65,0.0
9786750,Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,25.633333333333333,6,2,1,2020,9.05,1.05
9786774,Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,57.25,4,2,1,2020,7.95,-1.05
9645906,Container,116568,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,31.58333333333333,5,5,1,2020,10.9,0.9
9731913,Container,94623,ANGAMOS,CALLAO,80925100-4 - SOMARCO,Sitio 4/5,COSCO GROUP,Eurosal,36.1,5,3,1,2020,11.35,1.45
9355214,Vehicle Carrier,63004,IQUIQUE,NAGOYA - AICHI,96566940-k - AGUNSA,Sitio 4/5,NYK,SHINNANSEIKAI,13.916666666666666,12,2,1,2020,8.0,0.5
9718947,Container,95138,CALLAO,LIRQUEN,96566940-k - AGUNSA,Sitio 1,ONE,AX2,30.08333333333333,12,3,1,2020,10.0,1.95
9403293,Liquid Bulk,15659,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,40.083333333333336,6,4,1,2020,7.0,-3.35
9571387,General Cargo,12980,PAITA,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 4/5,BBC,USA,20.866666666666667,18,6,1,2020,6.9,0.15
9404314,Passenger,121878,PUERTO MONTT,PUERTO MONTT,91256000-7 - A.J.BROOM,Sitio 4/5,NON-LINER,NO SERVICE,18.916666666666668,3,6,1,2020,8.0,0.0
9483126,Passenger,32477,PUERTO MONTT,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,10.866666666666667,6,6,1,2020,6.55,0.0
9229659,Passenger,91627,COQUIMBO,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,34.0,4,6,1,2020,7.95,-0.2
